aper1,# wins,dates,% wins
1,42,", 2014_12_11, 2014_3_13, 2014_4_17, 2014_6_19, 2014_6_5, 2014_7_24, 2014_8_21, 2014_9_18, 2015_10_8, 2015_2_19, 2015_8_20, 2016_11_30, 2016_8_25, 2017_10_19, 2017_2_2, 2017_4_26, 2017_5_11, 2018_10_11, 2018_11_21, 2018_9_13, 2019_12_5, 2019_1_16, 2019_2_28, 2019_3_28, 2019_6_20, 2019_9_5, 2020_10_15, 2020_10_8, 2020_1_30, 2021_10_21, 2021_11_11, 2021_5_27, 2021_7_1, 2022_10_27, 2022_11_24, 2022_12_1, 2022_2_10, 2022_5_12, 2022_6_23, 2022_7_28, 2022_8_25, 2022_9_15",0.1390728476821192
2,21,", 2014_10_22, 2014_1_9, 2015_10_15, 2015_11_26, 2015_6_11, 2016_11_3, 2016_4_20, 2016_5_19, 2017_6_1, 2018_11_1, 2018_1_18, 2018_2_22, 2019_5_9, 2020_12_10, 2020_7_9, 2020_9_3, 2021_1_21, 2021_7_22, 2022_2_3, 2022_3_17, 2022_5_5",0.0695364238410596
3,12,", 2014_1_30, 2014_2_27, 2016_9_15, 2017_11_9, 2018_11_15, 2018_1_11, 2019_10_10, 2019_11_21, 2019_1_24, 2020_12_3, 2021_4_29, 2022_1_20",0.039735099337748346
4,20,", 2014_4_3, 2014_5_15, 2014_8_28, 2015_10_21, 2015_12_3, 2015_4_15, 2015_7_2, 2015_9_3, 2016_11_10, 2016_4_14, 2016_5_12, 2016_6_30, 2017_7_6, 2018_11_29, 2018_4_25, 2019_11_28, 2020_12_2, 2020_7_22, 2021_4_15, 2022_10_6",0.06622516556291391
5,5,", 2014_11_20, 2016_10_13, 2017_5_18, 2018_4_12, 2022_3_10",0.016556291390728478
6,13,", 2014_4_23, 2015_1_8, 2015_5_28, 2015_8_27, 2016_7_7, 2017_6_29, 2019_3_14, 2019_6_27, 2019_8_22, 2020_3_5, 2020_9_10, 2020_9_17, 2022_5_26",0.04304635761589404
7,9,", 2014_5_1, 2015_1_21, 2016_12_1, 2017_11_30, 2017_4_19, 2018_8_23, 2022_10_13, 2022_2_3, 2022_3_24",0.029801324503311258
8,10,", 2015_11_19, 2015_1_29, 2016_3_17, 2016_6_9, 2018_6_7, 2019_10_3, 2020_1_23, 2020_7_15, 2020_9_24, 2021_1_28",0.033112582781456956
9,7,", 2017_1_19, 2017_6_22, 2018_5_31, 2019_3_7, 2021_5_12, 2021_9_2, 2022_4_28",0.023178807947019868
10,8,", 2014_10_30, 2014_2_6, 2015_7_9, 2016_11_17, 2016_12_7, 2016_2_17, 2020_10_22, 2020_11_26",0.026490066225165563
