aper2,# wins,dates,% wins
1,92,", 2014_12_4, 2014_1_16, 2014_1_3, 2014_3_27, 2014_4_10, 2014_5_15, 2014_5_8, 2014_6_12, 2014_6_5, 2014_7_17, 2014_8_7, 2014_9_11, 2015_10_28, 2015_11_12, 2015_2_26, 2015_3_26, 2015_3_5, 2015_4_9, 2015_6_25, 2015_6_4, 2015_9_17, 2016_10_20, 2016_10_27, 2016_11_3, 2016_1_7, 2016_3_17, 2016_3_3, 2016_5_12, 2016_6_16, 2016_6_23, 2016_6_9, 2016_8_18, 2016_8_25, 2016_9_8, 2017_10_12, 2017_10_26, 2017_1_12, 2017_1_5, 2017_2_16, 2017_3_9, 2017_6_1, 2017_6_22, 2017_7_20, 2017_9_14, 2018_11_29, 2018_11_8, 2018_3_22, 2018_4_5, 2018_5_10, 2018_5_24, 2018_6_7, 2018_7_12, 2018_7_19, 2018_8_16, 2019_10_17, 2019_10_24, 2019_10_31, 2019_10_3, 2019_1_10, 2019_1_31, 2019_2_21, 2019_3_14, 2019_3_21, 2019_5_16, 2019_5_9, 2019_6_13, 2019_6_27, 2019_7_18, 2019_7_18, 2019_9_12, 2020_2_20, 2020_6_18, 2020_7_23, 2020_7_9, 2020_8_20, 2020_9_24, 2021_10_21, 2021_1_7, 2021_4_15, 2021_4_29, 2021_6_3, 2022_11_10, 2022_11_3, 2022_1_6, 2022_2_17, 2022_4_28, 2022_4_7, 2022_6_23, 2022_6_30, 2022_7_14, 2022_8_4, 2022_9_29",0.2562674094707521
2,41,", 2014_2_6, 2014_3_6, 2015_11_5, 2015_3_12, 2015_8_13, 2015_9_24, 2016_12_1, 2016_5_5, 2016_7_14, 2016_7_28, 2016_8_11, 2016_9_22, 2017_10_5, 2017_5_18, 2017_6_15, 2017_7_13, 2017_7_20, 2018_10_11, 2018_10_17, 2018_10_25, 2018_5_17, 2018_5_3, 2018_8_2, 2018_9_20, 2019_10_31, 2019_2_28, 2019_5_23, 2019_5_2, 2020_3_5, 2020_9_17, 2021_10_7, 2021_2_25, 2021_5_20, 2021_5_27, 2021_7_15, 2021_8_19, 2021_8_26, 2021_8_5, 2022_5_5, 2022_7_28, 2022_9_15",0.11420612813370473
3,37,", 2014_10_9, 2014_11_6, 2014_2_27, 2014_7_31, 2014_9_4, 2015_8_6, 2016_5_26, 2017_10_26, 2017_11_9, 2017_2_23, 2017_3_23, 2017_3_30, 2017_4_6, 2017_8_17, 2017_8_3, 2018_1_4, 2018_3_8, 2018_4_19, 2018_8_9, 2018_9_6, 2019_11_15, 2019_2_14, 2019_6_20, 2020_10_8, 2020_11_5, 2020_2_20, 2020_7_16, 2021_11_4, 2021_2_25, 2021_3_18, 2021_4_1, 2021_5_13, 2021_7_8, 2022_10_13, 2022_10_6, 2022_3_24, 2022_5_19",0.10306406685236769
4,25,", 2014_11_6, 2014_3_6, 2014_4_24, 2014_4_3, 2014_5_1, 2014_5_29, 2015_3_19, 2015_4_16, 2015_8_20, 2016_2_25, 2016_4_21, 2017_3_16, 2017_4_20, 2017_5_25, 2017_8_24, 2018_6_14, 2018_6_28, 2018_8_23, 2019_12_4, 2019_2_21, 2019_4_4, 2019_8_15, 2019_8_8, 2022_3_17, 2022_6_2",0.06963788300835655
5,19,", 2014_7_10, 2015_5_7, 2015_7_23, 2016_2_18, 2016_5_19, 2017_10_19, 2017_2_2, 2018_10_25, 2018_10_4, 2018_11_1, 2018_5_31, 2020_10_22, 2020_11_12, 2020_1_9, 2020_2_13, 2021_3_25, 2021_5_6, 2022_10_20, 2022_6_9",0.052924791086350974
6,18,", 2015_12_3, 2015_4_2, 2015_5_14, 2015_9_4, 2016_2_4, 2017_3_2, 2019_1_3, 2019_3_7, 2019_4_18, 2019_9_26, 2020_10_15, 2020_1_2, 2021_10_28, 2021_3_4, 2021_6_17, 2021_7_15, 2022_2_24, 2022_7_7",0.05013927576601671
7,12,", 2014_1_30, 2014_1_9, 2016_8_4, 2017_5_4, 2017_8_10, 2018_1_11, 2018_2_15, 2018_7_26, 2019_3_28, 2019_4_11, 2022_1_13, 2022_7_21",0.033426183844011144
8,22,", 2014_10_16, 2015_11_5, 2015_1_9, 2015_3_5, 2015_6_11, 2015_7_16, 2016_10_27, 2017_11_30, 2017_9_21, 2018_2_22, 2018_7_5, 2019_5_30, 2019_7_25, 2020_10_1, 2020_1_30, 2020_6_11, 2020_7_2, 2021_2_18, 2021_9_30, 2022_10_27, 2022_4_14, 2022_5_12",0.06128133704735376
9,11,", 2014_10_29, 2015_7_16, 2015_7_2, 2016_3_31, 2018_6_21, 2020_2_27, 2021_12_2, 2021_2_4, 2021_7_1, 2022_3_31, 2022_8_18",0.03064066852367688
10,3,", 2015_1_15, 2017_7_6, 2019_8_1",0.008356545961002786
11,7,", 2014_10_23, 2014_3_20, 2014_6_26, 2015_2_19, 2015_8_27, 2021_4_8, 2021_6_10",0.019498607242339833
12,5,", 2014_1_23, 2014_7_24, 2016_4_7, 2017_7_27, 2020_10_29",0.013927576601671309
13,9,", 2014_11_13, 2014_4_17, 2015_4_23, 2016_11_10, 2017_11_2, 2017_4_13, 2018_4_12, 2019_9_19, 2022_3_10",0.025069637883008356
14,3,", 2018_3_15, 2020_7_30, 2022_6_16",0.008356545961002786
15,5,", 2014_8_14, 2014_8_21, 2018_2_1, 2019_6_6, 2020_12_3",0.013927576601671309
16,3,", 2015_7_9, 2016_1_14, 2017_9_1",0.008356545961002786
17,5,", 2014_7_3, 2015_5_21, 2016_3_10, 2021_8_12, 2022_8_11",0.013927576601671309
18,3,", 2014_8_29, 2016_3_24, 2016_7_14",0.008356545961002786
19,1,", 2018_3_1",0.002785515320334262
20,2,", 2020_6_25, 2021_7_22",0.005571030640668524
21,1,", 2015_1_29",0.002785515320334262
22,3,", 2017_5_11, 2019_10_10, 2019_7_11",0.008356545961002786
23,3,", 2016_7_21, 2018_3_29, 2021_10_14",0.008356545961002786
24,2,", 2016_6_30, 2021_1_14",0.005571030640668524
25,5,", 2015_10_15, 2016_10_13, 2016_6_2, 2018_8_31, 2022_3_3",0.013927576601671309
26,0,,0.0
27,2,", 2017_6_29, 2020_8_6",0.005571030640668524
28,0,,0.0
29,1,", 2021_3_11",0.002785515320334262
30,0,,0.0
31,2,", 2016_9_2, 2021_6_24",0.005571030640668524
32,1,", 2016_4_14",0.002785515320334262
33,1,", 2020_9_10",0.002785515320334262
34,0,,0.0
35,0,,0.0
36,1,", 2021_9_16",0.002785515320334262
37,1,", 2021_11_11",0.002785515320334262
38,2,", 2014_5_22, 2017_6_8",0.005571030640668524
39,2,", 2018_7_19, 2019_7_4",0.005571030640668524
40,2,", 2015_7_30, 2020_8_27",0.005571030640668524
41,2,", 2014_3_13, 2022_5_26",0.005571030640668524
42,0,,0.0
43,1,", 2014_6_19",0.002785515320334262
44,1,", 2020_8_13",0.002785515320334262
45,0,,0.0
46,0,,0.0
47,0,,0.0
48,1,", 2014_2_13",0.002785515320334262
49,0,,0.0
50,0,,0.0
51,0,,0.0
52,0,,0.0
53,1,", 2022_2_10",0.002785515320334262
54,0,,0.0
55,0,,0.0
56,0,,0.0
57,0,,0.0
58,0,,0.0
59,0,,0.0
60,0,,0.0
61,0,,0.0
62,0,,0.0
63,0,,0.0
64,0,,0.0
65,0,,0.0
66,1,", 2015_10_22",0.002785515320334262
67,0,,0.0
68,0,,0.0
69,0,,0.0
70,0,,0.0
71,0,,0.0
72,0,,0.0
73,0,,0.0
74,0,,0.0
75,0,,0.0
76,0,,0.0
77,0,,0.0
78,0,,0.0
79,0,,0.0
80,0,,0.0
81,0,,0.0
82,0,,0.0
83,0,,0.0
84,0,,0.0
85,0,,0.0
86,0,,0.0
87,0,,0.0
88,0,,0.0
89,0,,0.0
90,0,,0.0
91,0,,0.0
92,0,,0.0
93,0,,0.0
94,0,,0.0
95,0,,0.0
96,0,,0.0
97,0,,0.0
98,0,,0.0
99,0,,0.0
100,0,,0.0
101,0,,0.0
102,0,,0.0
103,0,,0.0
104,0,,0.0
105,0,,0.0
106,0,,0.0
107,0,,0.0
108,0,,0.0
109,0,,0.0
110,0,,0.0
111,0,,0.0
112,0,,0.0
113,0,,0.0
114,0,,0.0
115,0,,0.0
116,0,,0.0
117,0,,0.0
118,0,,0.0
119,0,,0.0
120,0,,0.0
121,0,,0.0
122,0,,0.0
123,0,,0.0
124,0,,0.0
125,0,,0.0
126,0,,0.0
127,0,,0.0
128,0,,0.0
129,0,,0.0
130,0,,0.0
131,0,,0.0
132,0,,0.0
133,0,,0.0
134,0,,0.0
135,0,,0.0
136,0,,0.0
137,0,,0.0
138,0,,0.0
139,0,,0.0
140,0,,0.0
141,0,,0.0
142,0,,0.0
143,0,,0.0
144,0,,0.0
145,0,,0.0
146,0,,0.0
147,0,,0.0
148,0,,0.0
149,0,,0.0
150,0,,0.0
151,0,,0.0
152,0,,0.0
153,0,,0.0
154,0,,0.0
155,0,,0.0
156,0,,0.0
